model_name,feature_set,seq_len,trial,pr_auc,roc_auc,f1,precision@5,precision@10,precision@15,precision@20,precision@25,precision@30
bitenet,dxtx,6,0,0.35662510545776954,0.5663370286386159,0.2233502538071066,1.0,1.0,1.0,1.0,1.0,1.0
bitenet,dx,6,0,0.3720752397791287,0.5991433610481229,0.26778242677824265,1.0,1.0,1.0,1.0,1.0,1.0
rnn,dxtx,6,0,0.3896366406413796,0.6074892920131015,0.2844827586206896,1.0,1.0,1.0,1.0,1.0,1.0
rnn,dx,6,0,0.32602478160586323,0.5462962962962963,0.18090452261306536,1.0,1.0,1.0,1.0,1.0,1.0
brnn,dxtx,6,0,0.3391363622530071,0.5460863357688754,0.22330097087378642,1.0,1.0,1.0,1.0,1.0,1.0
brnn,dx,6,0,0.33337364526058055,0.5258776350046191,0.21296296296296297,1.0,1.0,1.0,1.0,1.0,1.0
retain,dxtx,6,0,0.33605704712586115,0.5598597463676829,0.2211981566820277,1.0,1.0,1.0,1.0,1.0,1.0
retain,dx,6,0,0.338490386818358,0.5358192659779961,0.2521008403361344,1.0,1.0,1.0,1.0,1.0,1.0
deepr,dxtx,6,0,0.3652197071288782,0.6194885361552027,0.2100456621004566,1.0,1.0,1.0,1.0,1.0,1.0
deepr,dx,6,0,0.3991777392207058,0.5820525741160663,0.3027522935779816,1.0,1.0,1.0,1.0,1.0,1.0
bitenet,dxtx,6,1,0.38477768699399245,0.6052927463277769,0.3197278911564626,0.8981612446958982,0.8122743682310469,0.7870159453302962,0.7690619857377948,0.7592493297587132,0.7510526315789474
bitenet,dx,6,1,0.3868097663126137,0.611224005611487,0.2889733840304182,0.6148683531233867,0.5058320373250389,0.4833273574757978,0.4673987645847632,0.4538284587578048,0.44940951165017556
rnn,dxtx,6,1,0.4255853761846539,0.6404315893711834,0.3022222222222222,1.0,1.0,1.0,1.0,1.0,1.0
rnn,dx,6,1,0.4079186020226865,0.5741562138966826,0.2857142857142857,1.0,1.0,1.0,1.0,1.0,1.0
brnn,dxtx,6,1,0.4084286971186436,0.622070473675524,0.26785714285714285,0.7248322147651006,0.6387645478961504,0.5959720509658858,0.5664986428848391,0.553343350864012,0.5418953530918404
brnn,dx,6,1,0.3770308952930572,0.5729905925070145,0.25,1.0,1.0,1.0,1.0,1.0,1.0
retain,dxtx,6,1,0.41469803546235784,0.6427628321505199,0.23645320197044337,0.7423971377459749,0.6907582938388626,0.6598984771573604,0.6298701298701299,0.6036269430051814,0.5902317880794702
retain,dx,6,1,0.3396075112268279,0.5516793200198052,0.2145922746781116,1.0,1.0,1.0,1.0,1.0,1.0
deepr,dxtx,6,1,0.4067502927299964,0.6524075755075094,0.2832618025751073,0.7523961661341853,0.6978769733260751,0.6590257879656161,0.6276595744680851,0.6097972972972973,0.5932272541819665
deepr,dx,6,1,0.37663909399234,0.606700775705562,0.2644628099173554,1.0,1.0,1.0,1.0,1.0,1.0
bitenet,dxtx,6,2,0.3529540650556052,0.6280561099519187,0.24,0.0,0.0,0.0,0.0,0.0,0.0
bitenet,dx,6,2,0.34080077160692723,0.596780595119296,0.31046931407942235,0.0,0.0,0.0,0.0,0.0,0.0
rnn,dxtx,6,2,0.3456986469635247,0.6011407965163749,0.2159090909090909,0.0,0.0,0.0,0.0,0.0,0.0
rnn,dx,6,2,0.3609897763559853,0.613784813571623,0.2288557213930348,0.0,0.0,0.0,0.0,0.0,0.0
brnn,dxtx,6,2,0.3791975738024771,0.6221309988206477,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0
brnn,dx,6,2,0.3119812415649842,0.5786877438084006,0.18888888888888888,0.0,0.0,0.0,0.0,0.0,0.0
retain,dxtx,6,2,0.3211226708527059,0.5734486981765401,0.23423423423423423,1.0,1.0,1.0,1.0,1.0,1.0
retain,dx,6,2,0.32216149241019554,0.5727342828631045,0.15204678362573099,0.6561546286876907,0.6066718386346005,0.5758007117437722,0.5443121693121693,0.5185873605947955,0.49679673849737915
deepr,dxtx,6,2,0.35204539711171545,0.6070488977592308,0.2966101694915254,1.0,1.0,1.0,1.0,1.0,1.0
deepr,dx,6,2,0.34033118499176895,0.6127188605642747,0.25,0.0,0.0,0.0,0.0,0.0,0.0
bitenet,dxtx,6,3,0.3701213273041582,0.6073918063633253,0.27530364372469635,0.7149175713711299,0.6794467362290706,0.6639930630825926,0.6637204522096608,0.6645731108930324,0.6661605617764281
bitenet,dx,6,3,0.3660534272314915,0.5955140266849128,0.2777777777777778,0.7038233710285406,0.7681595784719608,0.7714588484634405,0.7713310580204779,0.7735723771580345,0.7750977835723598
rnn,dxtx,6,3,0.37758092592310355,0.5834224255901471,0.2532751091703057,0.7258320126782885,0.665145327888542,0.651213171577123,0.6465552384834896,0.646250490773459,0.6422503303756844
rnn,dx,6,3,0.38518469821828427,0.6136781560041054,0.24644549763033174,0.7632263660017347,0.7158018867924528,0.7056919341785811,0.7009538540861047,0.6964375313597592,0.6937025238912031
brnn,dxtx,6,3,0.38250233913852616,0.6002394799863153,0.27488151658767773,0.7138420585625554,0.7104651162790697,0.6992801919488136,0.694141516611717,0.6881614570514398,0.6856453558504222
brnn,dx,6,3,0.37026389614033606,0.5874743414300376,0.2624434389140271,0.7607204116638079,0.7370056497175141,0.7305867665418228,0.7293144208037825,0.7261420171867933,0.7260603410581548
retain,dxtx,6,3,0.37724910240175474,0.6180294218268901,0.20212765957446807,0.7552334943639292,0.727433628318584,0.72,0.7134767836919592,0.709712133440947,0.7072727272727273
retain,dx,6,3,0.3797551525673482,0.5896980841601094,0.25510204081632654,0.7430107526881721,0.7152554483744195,0.7060456508328192,0.7066743053566313,0.7057228098725251,0.7025681341719078
deepr,dxtx,6,3,0.33252053218228317,0.5527390523434828,0.20765027322404372,0.6756756756756757,0.6720686367969495,0.6825396825396826,0.6852107809260539,0.6859424920127796,0.6858087793144919
deepr,dx,6,3,0.34786917001092993,0.5433095278823127,0.27888446215139445,0.6774729842061513,0.7171253822629969,0.7375316990701606,0.7499054105183504,0.7570126227208976,0.764921640546849
bitenet,dxtx,6,4,0.3520427858005809,0.5719480978939482,0.2162162162162162,0.8848052660449808,0.7800083647009619,0.7589082638362395,0.7517191458559537,0.7469026548672566,0.7453655124169289
bitenet,dx,6,4,0.3413655379949325,0.5680876966619496,0.24680851063829784,0.8683220466516177,0.7044513457556936,0.6808923375363725,0.6709219858156028,0.6680633147113594,0.6671277086214845
rnn,dxtx,6,4,0.3607118769509878,0.5712873553650213,0.2336448598130841,0.8105074090704985,0.7125154894671624,0.6993627043502355,0.6915032679738562,0.6833249623304872,0.6770655617840604
rnn,dx,6,4,0.3609946402412193,0.5523599433946558,0.27433628318584075,1.0,1.0,1.0,1.0,1.0,1.0
brnn,dxtx,6,4,0.37159844818314663,0.5978939482227587,0.21917808219178084,0.707037643207856,0.6490825688073395,0.6444582814445828,0.6407491486946651,0.6313265849760256,0.6335877862595419
brnn,dx,6,4,0.3695286908512644,0.5819112627986349,0.2727272727272727,0.9024264326277749,0.801071155317521,0.7783803326102675,0.7692307692307693,0.7634854771784232,0.7618393960192176
retain,dxtx,6,4,0.34619839792054574,0.5944497627570132,0.211864406779661,0.0,0.0,0.0,0.0,0.0,0.0
retain,dx,6,4,0.3526461638989302,0.561277366186631,0.24137931034482757,0.7575030012004802,0.6902985074626866,0.6278481012658228,0.5934765314240255,0.5734050730207533,0.5575485799701047
deepr,dxtx,6,4,0.35829292659230094,0.5794243735952718,0.2410714285714286,0.8053745928338762,0.798503166378814,0.7907324364723468,0.7828676133760879,0.7767702936096719,0.7732342007434945
deepr,dx,6,4,0.34552354947123576,0.5626404728211105,0.21198156682027652,0.7337423312883435,0.699047619047619,0.6501305483028721,0.6179867986798679,0.5957108816521048,0.5725190839694656
bitenet,dxtx,8,0,0.3258307445375068,0.5810346161925505,0.1744186046511628,0.0,0.0,0.0,0.0,0.0,0.0
bitenet,dx,8,0,0.33290908124396057,0.5713164324647039,0.2189054726368159,1.0,1.0,1.0,1.0,1.0,1.0
rnn,dxtx,8,0,0.3801571222089654,0.6215325763690035,0.26,1.0,1.0,1.0,1.0,1.0,1.0
rnn,dx,8,0,0.39175230655923515,0.6278786940706917,0.223463687150838,1.0,1.0,1.0,1.0,1.0,1.0
brnn,dxtx,8,0,0.3698995513767266,0.6113168747028712,0.2815533980582524,1.0,1.0,1.0,1.0,1.0,1.0
brnn,dx,8,0,0.3660698284207286,0.5956174197614125,0.23076923076923075,1.0,1.0,1.0,1.0,1.0,1.0
retain,dxtx,8,0,0.33371072971726623,0.5789892646684872,0.24778761061946902,0.0,0.0,0.0,0.0,0.0,0.0
retain,dx,8,0,0.34716898596750445,0.5779500049751793,0.2683982683982684,1.0,1.0,1.0,1.0,1.0,1.0
deepr,dxtx,8,0,0.36091372262980204,0.6072261716547447,0.2707423580786026,1.0,1.0,1.0,1.0,1.0,1.0
deepr,dx,8,0,0.4257769888292456,0.6364470585633893,0.317948717948718,1.0,1.0,1.0,1.0,1.0,1.0
bitenet,dxtx,8,1,0.31300075396609306,0.5519735791826309,0.1504424778761062,0.9154676258992805,0.8373108265424912,0.8424336973478939,0.843929194714535,0.8426666666666667,0.8434163701067615
bitenet,dx,8,1,0.36428040045327925,0.600584690293742,0.2937062937062937,0.8846153846153846,0.8426202772492525,0.8423657510517198,0.8448438978240302,0.8447446759789329,0.8453770197486535
rnn,dxtx,8,1,0.3507975616128491,0.5878432311621968,0.18264840182648404,1.0,1.0,1.0,1.0,1.0,1.0
rnn,dx,8,1,0.31940458435104163,0.55036717752235,0.11999999999999998,1.0,1.0,1.0,1.0,1.0,1.0
brnn,dxtx,8,1,0.35815985896573177,0.5928919220945084,0.20869565217391303,1.0,1.0,1.0,1.0,1.0,1.0
brnn,dx,8,1,0.3538422794454191,0.5878232758620691,0.20425531914893616,1.0,1.0,1.0,1.0,1.0,1.0
retain,dxtx,8,1,0.31744150626276085,0.541636733716475,0.21176470588235294,0.8277972027972028,0.7789855072463768,0.7555231346394331,0.7410881801125704,0.7278415015641293,0.7195523370638578
retain,dx,8,1,0.3628334814563684,0.5750319284802043,0.29457364341085274,1.0,1.0,1.0,1.0,1.0,1.0
deepr,dxtx,8,1,0.32163297183115425,0.5768478607918263,0.1459227467811159,0.7104972375690608,0.6870848708487085,0.6746913580246914,0.6685330347144457,0.6721485411140583,0.6676829268292683
deepr,dx,8,1,0.3594105109612867,0.5705519636015326,0.1941747572815534,1.0,1.0,1.0,1.0,1.0,1.0
bitenet,dxtx,8,2,0.40170410058793576,0.6290265410683021,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0
bitenet,dx,8,2,0.367808902526105,0.582023823589435,0.2643171806167401,0.0,0.0,0.0,0.0,0.0,0.0
rnn,dxtx,8,2,0.392985648798042,0.5895425398223435,0.2844036697247706,1.0,1.0,1.0,1.0,1.0,1.0
rnn,dx,8,2,0.37381722166262876,0.5793170857455882,0.2805429864253394,0.0,0.0,0.0,0.0,0.0,0.0
brnn,dxtx,8,2,0.40581462012767644,0.6075659767349437,0.3,0.35727969348659006,0.2779017857142857,0.263771186440678,0.25812024879060125,0.2554719562243502,0.25373641304347827
brnn,dx,8,2,0.390871782543406,0.5859765201233069,0.2777777777777778,1.0,1.0,1.0,1.0,1.0,1.0
retain,dxtx,8,2,0.34601408051060767,0.5772977733858927,0.26720647773279355,1.0,1.0,1.0,1.0,1.0,1.0
retain,dx,8,2,0.33822132402285665,0.5557512808670153,0.24299065420560745,0.6376963350785341,0.5536384096024006,0.5256500351370345,0.5116279069767442,0.5064319566689235,0.503698722259583
deepr,dxtx,8,2,0.3505060123468503,0.5592313723805329,0.2520325203252033,0.7597672485453034,0.6960900473933649,0.673936170212766,0.6629722921914357,0.6595330739299611,0.6581196581196581
deepr,dx,8,2,0.3489805386103955,0.5491992567211953,0.25,0.5065398335315101,0.42095721537345904,0.3775360188179947,0.3471395288635775,0.3255374438932199,0.3097560975609756
bitenet,dxtx,8,3,0.3773314796542046,0.6290055555555556,0.2897196261682243,0.0,0.0,0.0,0.0,0.0,0.0
bitenet,dx,8,3,0.3955551666038855,0.6196833333333334,0.23121387283236994,1.0,1.0,1.0,1.0,1.0,1.0
rnn,dxtx,8,3,0.4513772561893871,0.6791444444444446,0.33980582524271846,0.0,0.0,0.0,0.0,0.0,0.0
rnn,dx,8,3,0.4108905025737826,0.6291333333333333,0.29591836734693877,0.0,0.0,0.0,0.0,0.0,0.0
brnn,dxtx,8,3,0.4192755492118466,0.6439111111111111,0.3113207547169812,0.0,0.0,0.0,0.0,0.0,0.0
brnn,dx,8,3,0.41586564555527966,0.6300444444444444,0.32258064516129026,0.0,0.0,0.0,0.0,0.0,0.0
retain,dxtx,8,3,0.37198924257729366,0.6153111111111111,0.3076923076923077,0.8555798687089715,0.8293991416309013,0.797923322683706,0.757554945054945,0.7207043108682453,0.6886326194398682
retain,dx,8,3,0.3369543355840374,0.5554222222222223,0.16470588235294115,0.8495412844036697,0.8357915437561455,0.8014469453376206,0.7751724137931034,0.7474069554606467,0.7231108659680088
deepr,dxtx,8,3,0.3567654476460976,0.6326222222222222,0.25837320574162675,0.48936170212765956,0.5902366863905325,0.6203931203931204,0.6332958380202475,0.6396396396396397,0.6454223571067274
deepr,dx,8,3,0.3942319208088558,0.6028555555555555,0.2718446601941748,0.937007874015748,0.9439707673568819,0.9452449567723343,0.9414758269720102,0.9285165257494236,0.927038626609442
bitenet,dxtx,8,4,0.4195235885632872,0.6306806362969533,0.28865979381443296,0.6446664288262576,0.5269510926118627,0.48644603359387995,0.4750412232049168,0.47252116515999426,0.47255633900179733
bitenet,dx,8,4,0.3995781437111356,0.6184188918448452,0.2820512820512821,0.9030973451327433,0.8412248369719308,0.8502633559066968,0.8498789346246973,0.8505990133897111,0.8516833484986351
rnn,dxtx,8,4,0.4297119844792483,0.6285019870594805,0.3317972350230415,0.8347436535589846,0.7780277465316835,0.7662429378531074,0.7611630321910696,0.7559645535105658,0.7533039647577092
rnn,dx,8,4,0.4184075941032451,0.6270678008780285,0.3119266055045872,0.7601984564498346,0.7208121827411168,0.7274717256475739,0.7368791828108489,0.7422360248447205,0.7454855195911414
brnn,dxtx,8,4,0.4563289242786995,0.6676300894450465,0.32673267326732675,0.6923395445134576,0.6105571847507332,0.6037315510999721,0.6004915346805024,0.6002702702702702,0.6004842615012107
brnn,dx,8,4,0.4088468708467632,0.6045149494750439,0.3022222222222222,0.8449304174950298,0.7855238095238095,0.7646424721523536,0.757957327736971,0.7550531003768414,0.752458460495083
retain,dxtx,8,4,0.4173857051831127,0.6397784127609726,0.33076923076923076,0.8748129675810474,0.8664688427299704,0.8555804823331464,0.8513067749302208,0.8499172772394233,0.8524332810047096
